Serial Number,Date of Entry,Barcode/Accession No,Title,Author,Pages,Publisher,Place,Copyright Date,Department,Price,Discount Percent,Net Cost,Type
504,23-11-2021,PCCOEEC36156,NETZWERK DEUTSCH ALS FREMDSPRACHE ARBEITSBUSH A.1 MIT AUDIO-CDS 3 BOOKS SET.,"DENGLER, STEFANIE",168,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,,,,GBK
505,23-11-2021,PCCOEEC36157,NETZWERK DEUTSCH ALS FREMDSPRACHE A1. GLOSSARY GERMAN-ENGLISH 3 BOOKS SET.,"DENGLER, STEFANIE",52,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,,,,GBK
506,23-11-2021,PCCOEEC36146,NETZWERK DEUTSCH ALS FREMDSPRACHE. KURSBUCH-A1 MIT AUDIO-CDS 3 BOOKS SET.,"DENGLER, STEFANIE",160,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,950,25,712.5,GBK
507,23-11-2021,PCCOEEC36147,NETZWERK DEUTSCH ALS FREMDSPRACHE ARBEITSBUSH A.1 MIT AUDIO-CDS 3 BOOKS SET.,"DENGLER, STEFANIE",168,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,,,,GBK
508,23-11-2021,PCCOEEC36148,NETZWERK DEUTSCH ALS FREMDSPRACHE A1. GLOSSARY GERMAN-ENGLISH 3 BOOKS SET.,"DENGLER, STEFANIE",52,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,,,,GBK
509,20-10-2012,PCCOEEC23077,SOCIAL BACKGROUND OF INDIAN NATIONALISM.,"DESAI, A. R.",437,POPULAR PRAK.,BOMBAY,,GENERAL,250,21,198,HSB
510,20-10-2012,PCCOEEC23078,SOCIAL BACKGROUND OF INDIAN NATIONALISM.,"DESAI, A. R.",437,POPULAR PRAK.,BOMBAY,,GENERAL,250,21,198,HSB
511,04-02-2006,PCCOEEC09104,NACH G GHUMA,"DESAI, MADHVI",272,INDRAYANI SAHITYA,PUNE,,GENERAL,160,20,128,GBK
512,07-02-2006,PCCOEEC09131,PAVNKHIND,"DESAI, RANJEET",162,MEHATA PRAKASHAN,PUNE,,GENERAL,100,20,80,GBK
513,07-02-2006,PCCOEEC09134,RADHEY,"DESAI, RANJEET",263,MEHATA PRAKASHAN,PUNE,,GENERAL,120,20,96,GBK
514,07-02-2006,PCCOEEC09140,SHREEMAN YOGI,"DESAI, RANJEET",1147,MEHATA PRAKASHAN,PUNE,,GENERAL,400,20,320,GBK
515,08-03-2006,PCCOEEC09401,SWAMI.,"DESAI, RANJEET",417,MEHATA PRAKASHAN,PUNE,,GENERAL,160,20,128,GBK
516,17-11-2011,PCCOEEC20144,SHREEMAN YOGI,"DESAI, RANJEET",1147,MEHATA PRAKASHAN,PUNE,,GENERAL,480,25,360,GBK
517,17-11-2011,PCCOEEC20145,SHREEMAN YOGI,"DESAI, RANJEET",1147,MEHATA PRAKASHAN,PUNE,,GENERAL,480,25,360,GBK
518,06-11-2012,PCCOEEC23287,SWAMI.,"DESAI, RANJEET",417,MEHATA PRAKASHAN,PUNE,,GENERAL,,,,DBK
519,15-09-2014,PCCOEEC28009,SWAMI.,"DESAI, RANJEET",417,MEHATA PRAKASHAN,PUNE,,GENERAL,,,,DBK
520,10-02-2025,PCCOEEC40984,PAVNKHIND,"DESAI, RANJEET",158,MEHATA PUBLISHING HOUSE,PUNE,2024,GENERAL,250,28,180,GBK
521,01-12-2006,PCCOEEC09855,"THE RIGHT TO INFORMATION ACT, 2005 : ACT NO.22 OF 2005 DT. 21/06/05, W.E.F. 12/10/05","DESAI, SHRUTI A.",135,SNOW WHITE PUBLICATIONS PVT.LTD.,MUMBAI,,GENERAL,125,20,100,GBK
522,26-10-2013,PCCOEEC26636,SPARDHA PARIKSHA ARTHSHASTRA. -1,"DESALE, KIRAN G.",292,DEEPSTAMBH PRAKASHAN,JALGAON,,GENERAL,395,20,316,HSB
523,18-11-2024,PCCOEEC40636,DIARY OF A HOME MINISTER AN AUTOBIOGRAPHY TRUTH NOTHING BUT THE WHOLE TRUTH.,"DESHMUKH, ANIL",299,KAUTILYA BOOKS,NEW DELHI,2024,GENERAL,0,,0,DBK
524,16-01-2013,PCCOEEC24151,SHIKHAR YASHACHE.,"DESHMUKH, MANGESH",207,SURESH CHANDRA PRAKASHN,PUNE,,GENERAL,150,30,105,GBK
525,16-01-2013,PCCOEEC24152,SHIKHAR YASHACHE.,"DESHMUKH, MANGESH",207,SURESH CHANDRA PRAKASHN,PUNE,,GENERAL,150,30,105,GBK
526,16-01-2013,PCCOEEC24153,SHIKHAR YASHACHE.,"DESHMUKH, MANGESH",207,SURESH CHANDRA PRAKASHN,PUNE,,GENERAL,150,30,105,GBK
527,04-01-2013,PCCOEEC23779,SHIKHAR YASHACHE.,"DESHMUKH, MANGESH",207,SURESH CHANDRA PRAKASHN,PUNE,,GENERAL,150,30,105,GBK
528,08-03-2006,PCCOEEC09395,BAROMAS,"DESHMUKH, SADANAND",349,CONTINENTAL PRAKASHAN.,PUNE,,GENERAL,175,20,140,GBK
529,04-01-2013,PCCOEEC23789,VERGHESE KURIEN.,"DESHMUKH, SUJATA",218,RAJHANS PRAKASHAN,PUNE,,GENERAL,225,30,158,GBK
530,25-10-2024,PCCOEEC40625,TRANSFORM LIFE.,"DESHMUKH, VIJAY",159,VLD WELLNESS,PUNE,2018,GENERAL,0,,0,DBK
531,20-08-2004,PCCOEEC08086,University and College Librarianship in India in the 21st Century,DESHPANDE AND OTHER,333,PROF. S.G.MAHAJAN FELICITATION CO.,,2004,GENERAL,600,10,540,GBK
532,08-02-2003,PCCOEEC06318,REDIOVARIL BHASHE AANI SHRUTIKA. BAG 1.,"DESHPANDE, P.L.",205,MOUJ PRAKASHAN,,2001,GENERAL,125,20,100,GBK
533,08-02-2003,PCCOEEC06319,REDIOVARIL BHASHE AANI SHRUTIKA. BAG 2.,"DESHPANDE, P.L.",190,MOUJ PRAKASHAN,NEW DELHI,2001,GENERAL,125,20,100,GBK
534,08-02-2003,PCCOEEC06320,Khilli,"DESHPANDE, P.L.",236,SHRIVIDYA PRAKASHAN.,,2002,GENERAL,100,20,80,GBK
535,08-02-2003,PCCOEEC06326,Hasavnuk,"DESHPANDE, P.L.",157,MOUJ PRAKASHAN,,2002,GENERAL,75,20,60,GBK
536,30-01-2006,PCCOEEC09046,AGHAL PAGHAL,"DESHPANDE, P.L.",170,MOUJ PRAKASHAN,MUMBAI,,GENERAL,100,20,80,GBK
537,15-11-2010,PCCOEEC17588,BATATYACHI CHAL.,"DESHPANDE, P.L.",182,MOUJ PRAKASHAN,MUMBAI,,GENERAL,80,25,60,GBK
538,04-02-2006,PCCOEEC09088,GOLABERIJ.,"DESHPANDE, P.L.",188,SHRIVIDYA PRAKASHAN.,PUNE,,GENERAL,100,20,80,GBK
539,08-02-2006,PCCOEEC09146,URLA SURALA.,"DESHPANDE, P.L.",241,MOUJ PRAKASHAN,MUMBAI,,GENERAL,125,20,100,GBK
540,08-03-2006,PCCOEEC09387,A POORVAI,"DESHPANDE, P.L.",249,SHRIVIDYA PRAKASHAN.,PUNE,,GENERAL,100,20,80,GBK
541,15-01-2013,PCCOEEC23995,GATHODA.,"DESHPANDE, P.L.",221,PARCHURE PRAKASHAN MANDEER,MUMBAI,,GENERAL,250,25,188,GBK
542,15-01-2013,PCCOEEC23996,PACHAMUKHI.,"DESHPANDE, P.L.",226,PARCHURE PRAKASHAN MANDEER,MUMBAI,,GENERAL,250,25,188,GBK
543,15-01-2013,PCCOEEC23999,DAD.,"DESHPANDE, P.L.",198,MOUJ PRAKASHAN,MUMBAI,,GENERAL,150,25,113,GBK
544,15-01-2013,PCCOEEC24000,MAITRA.,"DESHPANDE, P.L.",196,MOUJ PRAKASHAN,MUMBAI,,GENERAL,120,25,90,GBK
545,15-01-2013,PCCOEEC24005,TI PHULRANI.,"DESHPANDE, P.L.",99,MOUJ PRAKASHAN,MUMBAI,,GENERAL,70,25,53,GBK
546,15-01-2013,PCCOEEC24014,GUN GAIN AAWDI.,"DESHPANDE, P.L.",200,MOUJ PRAKASHAN,MUMBAI,,GENERAL,120,25,90,GBK
547,15-01-2013,PCCOEEC24015,REDIOVARIL BHASHE AANI SHRUTIKA. BAG 1.,"DESHPANDE, P.L.",205,MOUJ PRAKASHAN,MUMBAI,,GENERAL,140,25,105,GBK
548,15-01-2013,PCCOEEC24011,AGHAL PAGHAL,"DESHPANDE, P.L.",170,MOUJ PRAKASHAN,MUMBAI,,GENERAL,120,25,90,GBK
549,12-09-2014,PCCOEEC27959,VYAKTI AANI VALLI.,"DESHPANDE, P.L.",213,MOUJ PRAKASHAN,MUMBAI,,GENERAL,,,,DBK
550,13-09-2014,PCCOEEC27968,ASA MI ASAMI.,"DESHPANDE, P.L.",116,MOUJ PRAKASHAN,MUMBAI,,GENERAL,,,,DBK
551,16-09-2014,PCCOEEC28022,HASAVNUK,"DESHPANDE, P.L.",157,MOUJ PRAKASHAN,MUMBAI,,GENERAL,,,,DBK
552,16-09-2014,PCCOEEC28029,KHILLI,"DESHPANDE, P.L.",233,SHREE VIDHYA PRAKASHN,PUNE,,GENERAL,,,,DBK
553,16-09-2014,PCCOEEC28023,AGHAL PAGHAL,"DESHPANDE, P.L.",170,MOUJ PRAKASHAN,MUMBAI,,GENERAL,,,,DBK
554,15-11-2010,PCCOEEC17589,BATATYACHI CHAL.,"DESHPANDE, P.L.",182,MOUJ PRAKASHAN,MUMBAI,,GENERAL,80,25,60,GBK
555,05-11-2012,PCCOEEC23279,VIKASACHI NAVI DALNE,"DESHPANDE, RAMESH",268,SOHAM DEVELOP,PUNE,,GENERAL,,,,DBK
